utc,irradiance,qualityflags,irradiancetype
2021-05-09 02:33:49.545840,127.76601046202309,65618,0
2021-05-09 02:34:39.544954,34.864214195227895,65618,0
2021-05-09 02:35:29.544045,31.072382887220844,65618,0
2021-05-09 02:42:59.536022,-0.008744065107776701,268533776,2
2021-05-09 02:43:49.535155,-0.007078676317874573,2416017424,2
2021-05-09 02:44:39.534284,-0.005968051565093044,2416017424,2
2021-05-09 02:45:29.533382,-0.006635020051602727,2416017424,2
2021-05-09 02:46:19.548999,-0.008796794267992264,2416017424,2
2021-05-09 02:47:09.548112,-0.008899951294523208,2416017424,2
2021-05-09 02:47:59.547240,-0.006619867582029833,2416017424,2
2021-05-09 02:48:49.546351,-0.005761153250140839,2416017424,2
2021-05-09 02:49:39.545463,-0.008205626197080868,2416017424,2
2021-05-09 02:50:29.544565,-0.01289189598825733,2416017424,2
2021-05-09 02:51:19.543691,-0.017145319437505607,2416017424,2
2021-05-09 02:52:09.542792,-0.018231049513664627,2416017424,2
2021-05-09 02:52:59.541923,-0.01519753133818689,2416017424,2
2021-05-09 02:53:49.541026,-0.009629413495085662,2416017424,2
2021-05-09 02:54:39.540139,-0.0063339588061420635,2416017424,2
2021-05-09 02:55:29.539254,-0.008635430217901318,2416017424,2
2021-05-09 02:56:19.538356,-0.013139293147271656,2416017424,2
2021-05-09 02:57:09.537460,-0.015071260528841373,2416017424,2
2021-05-09 02:57:59.536583,-0.014365863150151212,2416017424,2
2021-05-09 02:58:49.535681,-0.013527886422305825,2416017424,2
2021-05-09 02:59:39.534777,-0.014029650789451932,2416017424,2
2021-05-09 03:00:29.533874,-0.015182556045190997,2416017424,2
2021-05-09 03:01:19.532978,-0.015251680724250304,2416017424,2
2021-05-09 03:02:09.532087,-0.013791054832410589,2416017424,2
2021-05-09 03:02:59.531174,-0.011851721277558862,268533776,2
2021-05-09 03:03:49.530266,-0.008042226536550671,268533840,3
2021-05-09 03:04:39.529360,0.04898855267462708,268533840,3
2021-05-09 03:05:29.528448,0.2554870781261103,268533840,3
2021-05-09 03:12:59.520403,30.379928610782034,65618,0
2021-05-09 03:13:49.519483,30.82004323282584,65618,0
2021-05-09 03:14:39.518553,31.429427746174397,65618,0
2021-05-09 03:15:29.517634,32.43351754108108,65618,0
2021-05-09 03:16:19.516724,32.91574275906429,65618,0
2021-05-09 03:17:09.515818,32.062934263298025,65618,0
2021-05-09 03:17:59.514743,35.66754519402147,65618,0
2021-05-09 03:18:49.513838,52.067543254732215,65618,0
2021-05-09 03:19:39.512922,71.19327993188143,65618,0
2021-05-09 03:20:29.512010,71.00063297895655,65618,0
2021-05-09 03:21:19.527730,54.60810831642627,65554,0
2021-05-09 03:22:09.526812,50.24740826559778,65554,0
2021-05-09 03:22:59.525910,138.31079640696396,65554,0
2021-05-09 03:23:49.524977,440.63028453110473,65554,0
2021-05-09 03:24:39.524084,888.4000860585753,65554,0
2021-05-09 03:25:29.523160,1217.9770656906549,65554,0
2021-05-09 03:26:19.522247,1337.1615334406176,65554,0
2021-05-09 03:27:09.521308,1358.6045831550225,65554,0
2021-05-09 03:27:59.520364,1361.739604537932,65552,0
2021-05-09 03:28:49.519455,1361.734419807827,65536,0
2021-05-09 03:29:39.518549,1361.7010551235535,65536,0
2021-05-09 03:30:29.517624,1361.6558881696678,65536,0
2021-05-09 03:31:19.516712,1361.6136093165458,65536,0
2021-05-09 03:32:09.515786,1361.595555705164,65536,0
